name,Armor Class,Hit Points,Speed,STR,STR_mod,DEX,DEX_mod,CON,CON_mod,INT,INT_mod,WIS,WIS_mod,CHA,CHA_mod,Challenge,monster num
Aboleth,17,135,10,21,5,9,1,15,2,18,4,15,2,18,4,10,0
Erinyes,18,153,30,18,4,16,3,18,4,14,2,14,2,18,4,12,101
Ettercap,13,44,30,14,2,15,2,13,1,7,2,12,1,8,1,2,102
Ettin,12,85,40,21,5,8,1,17,3,6,2,10,0,8,1,4,103
Fire Elemental,13,102,50,10,0,17,3,16,3,6,2,10,0,7,2,5,104
Fire Giant,18,162,30,25,7,9,1,23,6,10,0,14,2,13,1,9,105
Flameskull,13,40,0,1,5,17,3,14,2,16,3,10,0,11,0,4,106
Flesh Golem,9,93,30,19,4,9,1,18,4,6,2,10,0,5,3,5,107
Flying Snake,14,5,30,4,3,18,4,11,0,2,4,12,1,5,3,1,108
Flying Sword,17,17,0,12,1,15,2,11,0,1,5,5,3,1,5,1,109
Adult Silver Dragon,19,243,40,27,8,10,0,25,7,16,3,13,1,21,5,16,10
Frog,11,1,20,1,5,13,1,8,1,1,5,8,1,3,4,0,110
Frost Giant,15,138,40,23,6,9,1,21,5,9,1,10,0,12,1,8,111
Gargoyle,15,52,30,15,2,11,0,16,3,6,2,11,0,7,2,2,112
Gelatinous Cube,6,84,15,14,2,3,4,20,5,1,5,6,2,1,5,2,113
Ghast,13,36,30,16,3,17,3,10,0,11,0,10,0,8,1,2,114
Ghost,11,45,0,7,2,13,1,10,0,10,0,12,1,17,3,4,115
Ghoul,12,22,30,13,1,15,2,10,0,7,2,10,0,6,2,1,116
Giant Badger,10,13,30,13,1,10,0,15,2,2,4,12,1,5,3,1,118
Adult White Dragon,18,200,40,22,6,10,0,22,6,8,1,12,1,12,1,13,11
Giant Eagle,13,26,10,16,3,17,3,13,1,8,1,14,2,10,0,1,125
Giant Fire Beetle,13,4,30,8,1,10,0,12,1,1,5,7,2,3,4,0,127
Giant Frog,11,18,30,12,1,13,1,11,0,2,4,10,0,3,4,1,128
Air Elemental,15,90,0,14,2,20,5,14,2,6,2,10,0,6,2,5,12
Giant Octopus,11,52,10,17,3,13,1,13,1,4,3,10,0,4,3,1,132
Giant Owl,12,19,5,13,1,15,2,12,1,8,1,13,1,10,0,1,133
Giant Rat,12,7,30,7,2,15,2,11,0,2,4,10,0,4,3,1,135
Giant Spider,14,26,30,14,2,16,3,12,1,2,4,11,0,4,3,1,139
Gibbering Mouther,9,67,10,10,0,8,1,16,3,3,4,10,0,6,2,2,145
Glabrezu,17,157,40,20,5,15,2,21,5,19,4,17,3,16,3,9,146
Gnoll,15,22,30,14,2,12,1,11,0,6,2,10,0,7,2,1,148
Ancient Black Dragon,22,367,40,27,8,14,2,25,7,16,3,15,2,19,4,21,14
Goblin,15,7,30,8,1,14,2,10,0,10,0,8,1,8,1,1,150
Gold Dragon Wyrmling,17,60,30,19,4,14,2,17,3,14,2,11,0,16,3,3,151
Gorgon,19,114,40,20,5,11,0,18,4,2,4,12,1,7,2,5,152
Gray Ooze,8,22,10,12,1,6,2,16,3,1,5,6,2,2,4,1,153
Green Dragon Wyrmling,17,38,30,15,2,12,1,13,1,14,2,11,0,13,1,2,154
Green Hag,17,82,30,18,4,12,1,16,3,13,1,14,2,14,2,3,155
Grick,14,27,30,14,2,14,2,11,0,3,4,14,2,5,3,2,156
Griffon,12,59,30,18,4,15,2,16,3,2,4,13,1,8,1,2,157
Grimlock,11,11,30,16,3,12,1,12,1,9,1,8,1,6,2,1,158
Ancient Blue Dragon,22,481,40,29,9,10,0,27,8,18,4,17,3,21,5,23,15
Guardian Naga,18,127,40,19,4,18,4,16,3,16,3,19,4,18,4,10,160
Gynosphinx,17,136,40,18,4,15,2,16,3,18,4,18,4,18,4,11,161
Half-Red Dragon Veteran,18,65,30,16,3,13,1,14,2,10,0,11,0,10,0,5,162
Harpy,11,38,20,12,1,13,1,12,1,7,2,10,0,13,1,1,163
Hawk,13,1,10,5,3,16,3,8,1,2,4,14,2,6,2,0,164
Hell Hound,15,45,50,17,3,12,1,14,2,6,2,13,1,6,2,3,165
Hezrou,16,136,30,19,4,17,3,20,5,5,3,12,1,13,1,8,166
Hill Giant,13,105,40,21,5,8,1,19,4,5,3,9,1,6,2,5,167
Hippogriff,11,19,40,17,3,13,1,13,1,2,4,12,1,8,1,1,168
Hobgoblin,18,11,30,13,1,12,1,12,1,10,0,10,0,9,1,1,169
Ancient Brass Dragon,20,297,40,27,8,10,0,25,7,16,3,15,2,19,4,20,16
Homunculus,13,5,20,4,3,15,2,11,0,10,0,10,0,7,2,0,170
Horned Devil,18,148,20,22,6,17,3,21,5,12,1,16,3,17,3,11,171
Hydra,15,172,30,20,5,12,1,20,5,2,4,10,0,7,2,8,173
Hyena,11,5,50,11,0,13,1,12,1,2,4,12,1,5,3,0,174
Ice Devil,18,180,40,21,5,14,2,18,4,18,4,15,2,18,4,14,175
Ice Mephit,11,21,30,7,2,13,1,10,0,9,1,11,0,12,1,1,176
Imp,13,10,20,6,2,17,3,13,1,11,0,12,1,14,2,1,177
Invisible Stalker,14,104,50,16,3,19,4,14,2,10,0,15,2,11,0,6,178
Iron Golem,20,210,30,24,7,9,1,20,5,3,4,11,0,1,5,16,179
Ancient Bronze Dragon,22,444,40,29,9,10,0,27,8,18,4,17,3,21,5,22,17
Kobold,12,5,30,7,2,15,2,9,1,8,1,7,2,8,1,1,183
Kraken,18,472,20,30,10,11,0,25,7,22,6,18,4,20,5,23,184
Lamia,13,97,30,16,3,13,1,15,2,14,2,15,2,16,3,4,185
Lemure,7,13,15,10,0,5,3,11,0,1,5,11,0,3,4,0,186
Lich,17,135,30,11,0,16,3,16,3,20,5,14,2,16,3,21,187
Ancient Copper Dragon,21,350,40,27,8,12,1,25,7,20,5,17,3,19,4,21,18
Lizardfolk,15,22,30,15,2,10,0,13,1,7,2,12,1,7,2,1,190
Magma Mephit,11,22,30,8,1,12,1,12,1,7,2,10,0,10,0,1,192
Magmin,14,9,30,7,2,15,2,12,1,8,1,11,0,10,0,1,193
Manticore,14,68,30,17,3,16,3,17,3,7,2,12,1,8,1,3,195
Marilith,18,189,40,18,4,20,5,20,5,18,4,16,3,20,5,16,196
Mastiff,12,5,40,13,1,14,2,12,1,3,4,12,1,7,2,1,197
Medusa,15,127,30,10,0,15,2,16,3,12,1,13,1,15,2,6,198
Merfolk,11,11,10,10,0,13,1,12,1,11,0,11,0,12,1,1,199
Ancient Gold Dragon,22,546,40,30,10,14,2,29,9,18,4,17,3,28,9,24,19
Merrow,13,45,10,18,4,10,0,15,2,8,1,10,0,9,1,2,200
Mimic,12,58,15,17,3,12,1,15,2,5,3,13,1,8,1,2,201
Minotaur,14,76,40,18,4,11,0,16,3,6,2,16,3,9,1,3,202
Minotaur Skeleton,12,67,40,18,4,11,0,15,2,6,2,8,1,5,3,2,203
Mummy,11,58,20,16,3,8,1,15,2,6,2,10,0,12,1,3,205
Mummy Lord,17,97,20,18,4,10,0,17,3,11,0,18,4,16,3,15,206
Nalfeshnee,18,184,20,21,5,10,0,22,6,19,4,12,1,15,2,13,207
Night Hag,17,112,30,18,4,15,2,16,3,16,3,14,2,16,3,5,208
Nightmare,13,68,60,18,4,15,2,16,3,10,0,13,1,15,2,3,209
Ancient Green Dragon,21,385,40,27,8,12,1,25,7,20,5,17,3,19,4,22,20
Noble,15,9,30,11,0,12,1,11,0,12,1,14,2,16,3,1,210
Nothic,15,45,30,14,2,16,3,16,3,13,1,10,0,8,1,2,211
Ochre Jelly,8,45,10,15,2,6,2,14,2,2,4,6,2,1,5,2,212
Octopus,12,3,5,4,3,15,2,11,0,3,4,10,0,4,3,0,213
Ogre,11,59,40,19,4,8,1,16,3,5,3,7,2,7,2,2,214
Ogre Zombie,8,85,30,19,4,6,2,18,4,3,4,6,2,5,3,2,215
Oni,16,110,30,19,4,11,0,16,3,14,2,12,1,15,2,7,216
Orc,13,15,30,16,3,12,1,16,3,7,2,11,0,10,0,1,217
Otyugh,14,114,30,16,3,11,0,19,4,6,2,13,1,6,2,5,218
Owl,11,1,5,3,4,13,1,8,1,2,4,12,1,7,2,0,219
Ancient Red Dragon,22,546,40,30,10,10,0,29,9,18,4,15,2,23,6,24,21
Owlbear,13,59,40,20,5,12,1,17,3,3,4,12,1,7,2,3,220
Pegasus,12,59,60,18,4,15,2,16,3,10,0,15,2,13,1,2,222
Phase Spider,13,32,30,15,2,15,2,12,1,6,2,10,0,6,2,3,223
Pit Fiend,19,300,30,26,8,14,2,24,7,22,6,18,4,24,7,20,224
Planetar,19,200,40,24,7,20,5,24,7,19,4,22,6,25,7,16,225
Plesiosaurus,13,68,20,18,4,15,2,16,3,2,4,12,1,5,3,2,226
Ancient Silver Dragon,22,487,40,30,10,10,0,29,9,18,4,15,2,23,6,23,22
Pseudodragon,13,7,15,6,2,15,2,13,1,10,0,12,1,10,0,1,231
Purple Worm,18,247,50,28,9,7,2,22,6,1,5,8,1,4,3,15,233
Quasit,13,7,40,5,3,17,3,10,0,7,2,10,0,10,0,1,234
Quipper,13,1,0,2,4,16,3,9,1,1,5,7,2,2,4,0,235
Rakshasa,16,110,40,14,2,17,3,18,4,13,1,16,3,20,5,13,236
Rat,10,1,20,2,4,11,0,9,1,2,4,10,0,4,3,0,237
Raven,12,1,10,2,4,14,2,8,1,2,4,12,1,6,2,0,238
Red Dragon Wyrmling,17,75,30,19,4,10,0,17,3,12,1,11,0,15,2,4,239
Ancient White Dragon,20,333,40,26,8,10,0,26,8,10,0,13,1,14,2,20,23
Remorhaz,17,195,30,24,7,13,1,21,5,4,3,10,0,5,3,11,241
Riding Horse,10,13,60,16,3,10,0,12,1,2,4,11,0,7,2,1,243
Roc,15,248,20,28,9,10,0,20,5,3,4,10,0,9,1,11,244
Roper,20,93,10,18,4,8,1,17,3,7,2,16,3,6,2,5,245
Rug of Smothering,12,33,10,17,3,14,2,10,0,1,5,3,4,1,5,2,246
Rust Monster,14,27,40,13,1,12,1,13,1,2,4,13,1,6,2,1,247
Sahuagin,12,22,30,13,1,11,0,12,1,12,1,13,1,9,1,1,249
Androsphinx,17,199,40,22,6,10,0,20,5,16,3,18,4,23,6,17,24
Salamander,15,90,30,18,4,14,2,15,2,11,0,10,0,12,1,5,250
Satyr,14,31,40,12,1,16,3,11,0,12,1,10,0,14,2,1,251
Scout,13,16,30,11,0,14,2,12,1,11,0,13,1,11,0,1,253
Sea Hag,14,52,30,16,3,13,1,16,3,12,1,12,1,13,1,2,254
Shadow,12,16,40,6,2,14,2,13,1,6,2,10,0,8,1,1,256
Shambling Mound,15,136,20,18,4,8,1,16,3,5,3,10,0,5,3,5,257
Shield Guardian,17,142,30,18,4,8,1,18,4,7,2,10,0,3,4,7,258
Shrieker,5,13,0,1,5,1,5,10,0,1,5,3,4,1,5,0,259
Animated Armor,18,33,25,14,2,11,0,13,1,1,5,3,4,1,5,1,25
Silver Dragon Wyrmling,17,45,30,19,4,10,0,17,3,12,1,11,0,15,2,2,260
Skeleton,13,13,30,10,0,14,2,15,2,6,2,8,1,5,3,1,261
Solar,21,243,50,26,8,22,6,26,8,25,7,25,7,30,10,21,262
Spectator,14,39,0,8,1,14,2,14,2,13,1,14,2,11,0,3,263
Specter,12,22,0,1,5,14,2,11,0,10,0,10,0,11,0,1,264
Spider,12,1,20,2,4,14,2,8,1,1,5,10,0,2,4,0,265
Spirit Naga,15,75,40,18,4,17,3,14,2,16,3,15,2,16,3,8,266
Sprite,15,2,10,3,4,18,4,10,0,14,2,13,1,11,0,1,267
Steam Mephit,10,21,30,5,3,11,0,10,0,11,0,10,0,12,1,1,269
Ankheg,14,39,30,17,3,11,0,13,1,1,5,13,1,6,2,2,26
Stirge,14,2,10,4,3,16,3,11,0,2,4,8,1,6,2,1,270
Stone Giant,17,126,40,23,6,15,2,20,5,10,0,12,1,9,1,7,271
Stone Golem,17,178,30,22,6,9,1,20,5,3,4,11,0,1,5,10,272
Storm Giant,16,230,50,29,9,14,2,20,5,16,3,18,4,18,4,13,273
Succubus/Incubus,15,66,30,8,1,17,3,13,1,15,2,12,1,20,5,4,274
Swarm of Bats,12,22,0,5,3,15,2,10,0,2,4,12,1,4,3,1,275
Swarm of Quippers,13,28,0,13,1,16,3,9,1,1,5,7,2,2,4,1,278
Swarm of Rats,10,24,30,9,1,11,0,9,1,2,4,10,0,3,4,1,279
Swarm of Ravens,12,24,10,6,2,14,2,8,1,3,4,12,1,6,2,1,280
Tarrasque,25,676,40,30,10,11,0,30,10,3,4,11,0,11,0,30,281
Thug,11,32,30,15,2,11,0,14,2,10,0,10,0,11,0,1,282
Treant,16,138,30,23,6,8,1,21,5,12,1,16,3,12,1,9,284
Troll,15,84,30,18,4,13,1,20,5,7,2,9,1,7,2,5,287
Twig Blight,13,4,20,6,2,13,1,12,1,4,3,8,1,3,4,1,288
Tyrannosaurus Rex,13,136,50,25,7,10,0,19,4,2,4,12,1,9,1,8,289
Unicorn,12,67,50,18,4,14,2,15,2,11,0,17,3,16,3,5,290
Vampire,16,144,30,18,4,18,4,18,4,17,3,15,2,18,4,13,291
Vampire Spawn,15,82,30,16,3,16,3,16,3,11,0,10,0,12,1,5,292
Violet Fungus,5,18,5,3,4,1,5,10,0,1,5,3,4,1,5,1,294
Vrock,15,104,40,17,3,15,2,18,4,8,1,13,1,8,1,6,295
Warhorse Skeleton,13,22,60,18,4,12,1,15,2,2,4,8,1,5,3,1,298
Water Elemental,14,114,30,18,4,14,2,18,4,5,3,10,0,8,1,5,299
Archmage,12,99,30,10,0,14,2,12,1,20,5,15,2,16,3,12,29
Adult Black Dragon,19,195,40,23,6,14,2,21,5,14,2,13,1,17,3,14,2
Werebear,10,135,30,19,4,10,0,17,3,11,0,12,1,12,1,5,301
Wereboar,10,78,30,17,3,10,0,15,2,10,0,11,0,8,1,4,302
Wererat,12,33,30,10,0,15,2,12,1,11,0,10,0,8,1,2,303
Weretiger,12,120,30,17,3,15,2,16,3,10,0,13,1,11,0,4,304
Werewolf,11,58,30,15,2,13,1,14,2,10,0,11,0,10,0,3,305
White Dragon Wyrmling,16,32,30,14,2,10,0,14,2,5,3,10,0,11,0,2,306
Wight,14,45,30,15,2,14,2,16,3,10,0,13,1,15,2,3,307
Will-o'-Wisp,19,22,0,1,5,28,9,10,0,13,1,14,2,11,0,2,308
Winter Wolf,13,75,50,18,4,13,1,14,2,7,2,12,1,8,1,3,309
Assassin,15,78,30,11,0,16,3,14,2,13,1,11,0,10,0,8,30
Wolf,13,11,40,12,1,15,2,12,1,3,4,12,1,6,2,1,310
Worg,13,26,50,16,3,13,1,13,1,7,2,11,0,8,1,1,311
Wraith,13,67,0,6,2,16,3,16,3,12,1,14,2,15,2,5,312
Wyvern,13,110,20,19,4,10,0,16,3,5,3,12,1,6,2,6,313
Xorn,19,73,20,17,3,10,0,22,6,11,0,10,0,11,0,5,314
Yeti,12,51,40,18,4,13,1,16,3,8,1,12,1,7,2,3,315
Young Black Dragon,18,127,40,19,4,14,2,17,3,12,1,11,0,15,2,7,316
Young Blue Dragon,18,152,40,21,5,10,0,19,4,14,2,13,1,17,3,9,317
Young Brass Dragon,17,110,40,19,4,10,0,17,3,12,1,11,0,15,2,6,318
Young Bronze Dragon,18,142,40,21,5,10,0,19,4,14,2,13,1,17,3,8,319
Young Copper Dragon,17,119,40,19,4,12,1,17,3,16,3,13,1,15,2,7,320
Young Gold Dragon,18,178,40,23,6,14,2,21,5,16,3,13,1,20,5,10,321
Young Green Dragon,18,136,40,19,4,12,1,17,3,16,3,13,1,15,2,8,322
Young Red Dragon,18,178,40,23,6,10,0,21,5,14,2,11,0,19,4,10,323
Young Silver Dragon,18,168,40,23,6,10,0,21,5,14,2,11,0,19,4,9,324
Young White Dragon,17,133,40,18,4,10,0,18,4,6,2,11,0,12,1,6,325
Zombie,8,22,20,13,1,6,2,16,3,3,4,6,2,5,3,1,326
Azer,17,39,30,17,3,12,1,15,2,12,1,13,1,10,0,2,34
Badger,10,3,20,4,3,11,0,12,1,2,4,12,1,5,3,0,36
Balor,19,262,40,26,8,15,2,22,6,20,5,16,3,22,6,19,37
Bandit Captain,15,65,30,15,2,16,3,14,2,14,2,11,0,14,2,2,39
Adult Blue Dragon,19,225,40,25,7,10,0,23,6,16,3,15,2,19,4,16,3
Banshee,12,58,40,1,5,14,2,10,0,12,1,11,0,17,3,4,40
Barbed Devil,15,110,30,16,3,17,3,18,4,12,1,14,2,14,2,5,41
Basilisk,15,52,20,16,3,8,1,15,2,2,4,8,1,7,2,3,42
Bat,12,1,5,2,4,15,2,8,1,2,4,12,1,4,3,0,43
Bearded Devil,13,52,30,16,3,15,2,15,2,9,1,11,0,11,0,3,44
Behir,17,168,50,23,6,16,3,18,4,7,2,14,2,12,1,11,45
Black Dragon Wyrmling,17,33,30,15,2,14,2,13,1,10,0,11,0,13,1,2,48
Black Pudding,7,85,20,16,3,5,3,16,3,1,5,6,2,1,5,4,49
Adult Brass Dragon,18,172,40,23,6,10,0,21,5,14,2,13,1,17,3,13,4
Blink Dog,13,22,40,12,1,17,3,12,1,10,0,13,1,11,0,1,50
Blue Dragon Wyrmling,17,52,30,17,3,10,0,15,2,12,1,11,0,15,2,3,52
Bone Devil,19,142,40,18,4,16,3,18,4,13,1,14,2,16,3,9,54
Brass Dragon Wyrmling,16,16,30,15,2,10,0,13,1,10,0,11,0,13,1,1,55
Bronze Dragon Wyrmling,17,32,30,17,3,10,0,15,2,12,1,11,0,15,2,2,56
Bugbear,16,27,30,15,2,14,2,13,1,8,1,11,0,9,1,1,58
Bulette,17,94,40,19,4,11,0,21,5,2,4,10,0,5,3,5,59
Adult Bronze Dragon,19,212,40,25,7,10,0,23,6,16,3,15,2,19,4,15,5
Centaur,12,45,50,18,4,14,2,14,2,9,1,13,1,11,0,2,62
Chain Devil,16,85,30,18,4,15,2,18,4,11,0,12,1,14,2,8,63
Chimera,14,114,30,19,4,11,0,19,4,3,4,14,2,10,0,6,64
Chuul,16,93,30,19,4,10,0,16,3,5,3,11,0,5,3,4,65
Clay Golem,14,133,20,20,5,9,1,18,4,3,4,8,1,1,5,9,66
Cloaker,14,78,10,17,3,15,2,12,1,13,1,12,1,14,2,8,67
Cloud Giant,14,200,40,27,8,10,0,22,6,12,1,16,3,16,3,9,68
Cockatrice,11,27,20,6,2,12,1,12,1,2,4,13,1,5,3,1,69
Adult Copper Dragon,18,184,40,23,6,12,1,21,5,18,4,15,2,17,3,14,6
Copper Dragon Wyrmling,16,22,30,15,2,12,1,13,1,14,2,11,0,13,1,1,72
Couatl,19,97,30,16,3,20,5,17,3,18,4,20,5,18,4,4,73
Cult Fanatic,13,33,30,11,0,14,2,12,1,10,0,13,1,14,2,2,76
Cultist,12,9,30,11,0,12,1,10,0,10,0,11,0,10,0,1,77
Cyclops,14,138,30,22,6,11,0,20,5,8,1,6,2,10,0,6,78
Darkmantle,11,22,10,16,3,12,1,13,1,2,4,10,0,5,3,1,79
Adult Gold Dragon,19,256,40,27,8,14,2,25,7,16,3,15,2,24,7,17,7
Death Dog,12,39,40,15,2,14,2,14,2,3,4,13,1,6,2,1,80
Deep Gnome (Svirfneblin),15,16,20,15,2,14,2,14,2,12,1,10,0,9,1,1,81
Deva,17,136,30,18,4,18,4,18,4,17,3,20,5,20,5,10,83
Dire Wolf,14,37,50,17,3,15,2,15,2,3,4,12,1,7,2,1,84
Djinni,17,161,30,21,5,15,2,22,6,15,2,16,3,20,5,11,85
Doppelganger,14,52,30,11,0,18,4,14,2,11,0,12,1,14,2,3,86
Dragon Turtle,20,341,20,25,7,10,0,20,5,10,0,12,1,12,1,17,88
Dretch,11,18,20,11,0,11,0,12,1,5,3,8,1,3,4,1,89
Adult Green Dragon,19,207,40,23,6,12,1,21,5,18,4,15,2,17,3,15,8
Drider,19,123,30,16,3,16,3,18,4,13,1,14,2,12,1,6,90
Drow,15,13,30,10,0,14,2,10,0,11,0,11,0,12,1,1,91
Druid,11,27,30,10,0,12,1,13,1,12,1,15,2,11,0,2,92
Dryad,11,22,30,10,0,12,1,11,0,14,2,15,2,18,4,1,93
Duergar,16,26,25,14,2,11,0,14,2,11,0,10,0,9,1,1,94
Dust Mephit,12,17,30,5,3,14,2,10,0,9,1,11,0,10,0,1,95
Eagle,12,3,10,6,2,15,2,10,0,2,4,14,2,7,2,0,96
Earth Elemental,17,126,30,20,5,8,1,20,5,5,3,10,0,5,3,5,97
Efreeti,17,200,40,22,6,12,1,24,7,16,3,15,2,16,3,11,98
Adult Red Dragon,19,256,40,27,8,10,0,25,7,16,3,13,1,21,5,17,9
